order,shot_id,scene_title,duration_seconds,preferred_video,dialogue_audio,mix_audio,notes
1,SH010,Cyber Forest Opens,5,movies/password_dragon_teaser/renders/video_lipsynced/SH010_lipsync.mp4,movies/password_dragon_teaser/audio/dialogue/SH010_dialogue.wav,movies/password_dragon_teaser/audio/mixes/SH010_mix.wav,Niko is small in frame; keep the silhouette readable and friendly.
2,SH020,Niko's Mission,6,movies/password_dragon_teaser/renders/video_lipsynced/SH020_lipsync.mp4,movies/password_dragon_teaser/audio/dialogue/SH020_dialogue.wav,movies/password_dragon_teaser/audio/mixes/SH020_mix.wav,"No mouth on Niko; show emotion through eyes, antenna glow, and body language."
3,SH030,The Giant Sneeze,5,movies/password_dragon_teaser/renders/video_lipsynced/SH030_lipsync.mp4,movies/password_dragon_teaser/audio/dialogue/SH030_dialogue.wav,movies/password_dragon_teaser/audio/mixes/SH030_mix.wav,"Keep the sneeze comic, never frightening."
4,SH040,Password Dragon Appears,7,movies/password_dragon_teaser/renders/video_lipsynced/SH040_lipsync.mp4,movies/password_dragon_teaser/audio/dialogue/SH040_dialogue.wav,movies/password_dragon_teaser/audio/mixes/SH040_mix.wav,"No readable passwords, letters, numbers, or symbols in the image."
5,SH050,Stay Calm,6,movies/password_dragon_teaser/renders/video_lipsynced/SH050_lipsync.mp4,movies/password_dragon_teaser/audio/dialogue/SH050_dialogue.wav,movies/password_dragon_teaser/audio/mixes/SH050_mix.wav,Body language should be gentle and emotionally safe.
6,SH060,Four Funny Pieces,7,movies/password_dragon_teaser/renders/video_lipsynced/SH060_lipsync.mp4,movies/password_dragon_teaser/audio/dialogue/SH060_dialogue.wav,movies/password_dragon_teaser/audio/mixes/SH060_mix.wav,Use pictures only; do not render labels or readable text.
7,SH070,Guessing Goblins Try,6,movies/password_dragon_teaser/renders/video_lipsynced/SH070_lipsync.mp4,movies/password_dragon_teaser/audio/dialogue/SH070_dialogue.wav,movies/password_dragon_teaser/audio/mixes/SH070_mix.wav,"Goblins are cute, non-threatening, and curious."
8,SH080,Password Parrot,6,movies/password_dragon_teaser/renders/video_lipsynced/SH080_lipsync.mp4,movies/password_dragon_teaser/audio/dialogue/SH080_dialogue.wav,movies/password_dragon_teaser/audio/mixes/SH080_mix.wav,"Do not shame the parrot; it should look eager, not sneaky."
9,SH090,Build The Vault,8,movies/password_dragon_teaser/renders/video_lipsynced/SH090_lipsync.mp4,movies/password_dragon_teaser/audio/dialogue/SH090_dialogue.wav,movies/password_dragon_teaser/audio/mixes/SH090_mix.wav,"The vault should feel like a helpful tool, not a scary lockup."
10,SH100,Teamwork Works,6,movies/password_dragon_teaser/renders/video_lipsynced/SH100_lipsync.mp4,movies/password_dragon_teaser/audio/dialogue/SH100_dialogue.wav,movies/password_dragon_teaser/audio/mixes/SH100_mix.wav,Keep Niko mouthless; high-five works through pose and eye expression.
11,SH110,Forest Cheers,7,movies/password_dragon_teaser/renders/video_lipsynced/SH110_lipsync.mp4,movies/password_dragon_teaser/audio/dialogue/SH110_dialogue.wav,movies/password_dragon_teaser/audio/mixes/SH110_mix.wav,Celebration stays readable and uncluttered.
12,SH120,Next Mission Teaser,6,movies/password_dragon_teaser/renders/video_lipsynced/SH120_lipsync.mp4,movies/password_dragon_teaser/audio/dialogue/SH120_dialogue.wav,movies/password_dragon_teaser/audio/mixes/SH120_mix.wav,No readable screen text or real brand logos.
